Energy_DPMD (eV),x,y,z
-45580.606,3.4,8.4,9.6
-45580.31812,3.8,8.5,9.7
-45580.1239,4.1,8.7,9.6
-45579.99539,4.2,5.3,9.6
-45580.6057,4.6,5.2,9.7
-45580.01625,4.7,8.7,9.2
-45582.50182,5.0,5.0,9.2
-45580.04381,5.8,6.2,10.5
-45583.4045,5.9,5.1,9.6
-45580.20722,6.3,11.7,9.6
-45580.1006,6.4,6.1,10.5
-45583.38865,6.5,5.2,9.6
-45579.92706,6.8,6.0,8.8
-45582.02503,7.4,4.8,9.6
-45580.12359,7.5,13.2,8.8
-45580.48449,9.1,9.9,9.6
-45580.05873,3.2,7.7,10.1
-45580.14317,3.4,9.2,10.1
-45580.0657,5.1,6.3,10.1
-45582.68828,5.5,5.0,9.7
-45580.97473,6.4,12.8,8.8
-45580.02463,6.7,11.6,9.7
-45580.05003,6.8,8.6,9.2
-45582.635,6.9,5.3,9.7
-45580.23304,7.3,7.0,8.8
-45579.9567,8.2,8.9,10.1
-45580.24776,8.9,9.6,8.8
-45579.97627,9.1,7.1,10.1
-45579.932,3.5,10.1,9.2
-45580.35092,5.2,12.6,8.8
-45579.91219,6.5,12.4,10.1
-45582.32128,7.3,5.6,9.2
-45580.81399,7.8,4.9,9.7
-45580.04038,9.0,8.2,9.2
-45580.80093,5.7,12.7,8.7
-45579.91704,6.0,9.0,8.7
-45580.10576,6.2,11.7,9.8
-45581.3304,7.5,4.8,9.8
-45581.31551,7.6,5.7,9.1
-45579.91931,3.7,7.6,10.2
-45579.96879,3.9,9.3,10.2
-45580.20435,4.0,8.7,9.8
-45579.99459,4.3,5.3,9.8
-45582.7727,5.8,5.1,9.8
-45580.12006,6.0,11.6,9.1
-45582.894,6.4,5.2,9.8
-45580.12655,6.5,8.7,9.1
-45580.72751,6.9,12.9,8.7
-45580.07523,7.0,8.4,9.1
-45580.03314,8.7,8.8,10.2
-45580.34259,9.0,9.9,9.8
-45580.6366,9.1,9.4,8.7
-45580.45986,3.5,8.4,9.8
-45580.04051,4.1,5.2,9.1
-45580.17155,4.2,8.6,9.1
-45582.98777,5.4,5.0,9.5
-45579.91552,5.5,6.3,10.6
-45579.91071,6.3,7.4,10.6
-45580.13511,6.6,11.6,9.5
-45583.24348,6.8,5.3,9.5
-45580.8675,7.9,4.9,9.5
-45580.11782,3.9,8.5,9.5
-45581.12679,4.7,5.2,9.5
-45580.88603,5.9,12.9,8.9
-45580.16269,6.5,11.5,9.3
-45580.89577,6.7,12.7,8.9
-45579.94311,6.9,6.0,10.6
-45580.47595,7.8,5.8,8.9
-45580.12277,7.9,5.5,10.0
-45580.15826,8.7,8.2,10.0
-45580.89418,3.2,8.6,9.3
-45580.40957,4.7,5.0,10.0
-45579.93029,5.0,6.1,10.4
-45582.55709,5.1,5.2,9.3
-45579.95351,5.4,5.1,10.7
-45581.55838,5.4,5.2,10.0
-45580.44578,5.5,6.1,8.9
-45580.00296,5.5,8.7,9.3
-45579.94157,6.1,6.9,10.4
-45580.06531,6.2,8.5,10.0
-45581.98678,6.8,5.1,10.0
-45580.06751,6.8,5.2,10.7
-45580.00041,6.9,6.2,8.9
-45580.25087,7.4,13.0,8.9
-45580.19995,3.4,7.8,9.9
-45580.55694,3.7,8.7,9.4
-45580.40001,5.8,6.0,9.0
-45580.04037,5.8,8.6,9.4
-45579.97621,5.9,5.0,10.8
-45582.40123,5.9,5.3,9.9
-45582.64232,6.5,5.0,9.9
-45579.93888,6.5,5.3,10.8
-45579.9577,6.7,8.4,9.9
-45580.19288,8.7,9.9,9.4
-45580.874,9.0,8.8,9.0
-45580.04392,9.1,10.5,9.9
-45579.93543,3.8,9.1,10.3
-45580.03964,5.0,12.4,9.0
-45580.54752,5.4,12.8,9.0
-45579.91713,5.7,11.6,9.9
-45580.06197,6.1,9.2,9.0
-45581.00486,6.2,12.6,9.0
-45581.12916,7.4,5.4,9.9
-45581.15036,7.5,5.9,9.0
-45579.92846,8.1,5.7,9.9
-45579.94,8.3,5.6,9.4
-45580.33537,3.2,9.6,9.9
-45580.46065,3.9,8.9,9.4
-45579.95615,4.5,9.4,9.4
-45579.97704,4.8,5.6,10.3
-45579.94785,5.0,13.0,9.4
-45580.22815,5.4,12.2,9.4
-45580.06677,5.6,8.8,9.4
-45580.00429,6.2,9.5,9.4
-45580.572,6.5,6.5,9.9
-45580.39988,6.8,12.1,9.4
-45580.38425,7.4,6.1,9.9
-45582.4824,7.5,5.2,9.0
-45580.15861,8.3,8.5,9.0
-45580.05744,3.4,7.3,9.9
