Energy_DPMD (eV),x,y,z
-45584.21369,6.2,5.0,9.1
-45584.20374,6.2,5.0,9.2
-45584.15117,6.2,5.1,9.2
-45584.07269,6.2,5.1,9.3
-45583.97868,6.2,5.2,9.3
-45583.8552,6.2,5.2,9.4
-45583.73933,6.2,5.3,9.4
-45583.58724,6.2,5.4,9.4
-45583.45182,6.2,5.4,9.5
-45583.294,6.2,5.5,9.5
-45583.12836,6.2,5.5,9.6
-45582.95649,6.2,5.6,9.6
-45582.75641,6.2,5.7,9.6
-45582.56691,6.2,5.7,9.7
-45582.36202,6.2,5.8,9.7
-45582.14128,6.2,5.9,9.7
-45581.94375,6.2,5.9,9.8
-45581.73557,6.2,6.0,9.8
-45581.52146,6.2,6.1,9.8
-45581.32343,6.2,6.1,9.9
-45581.13892,6.2,6.2,9.9
-45580.95836,6.2,6.3,9.9
-45580.78356,6.2,6.3,10.0
-45580.63242,6.2,6.4,10.0
-45580.49195,6.2,6.5,10.0
-45580.37253,6.2,6.5,10.1
-45580.2807,6.2,6.6,10.1
-45580.19637,6.2,6.6,10.2
-45580.12993,6.2,6.7,10.2
-45580.06469,6.2,6.7,10.3
-45580.01806,6.2,6.8,10.3
-45579.97484,6.2,6.9,10.3
-45579.9453,6.2,6.9,10.4
-45579.92548,6.2,7.0,10.4
-45579.91498,6.2,7.1,10.4
-45579.91193,6.2,7.2,10.4
-45579.91397,6.2,7.3,10.4
-45579.91792,6.2,7.4,10.4
-45579.92264,6.2,7.4,10.5
-45579.92518,6.2,7.5,10.5
-45579.92558,6.2,7.6,10.5
-45579.92571,6.2,7.6,10.4
-45579.93016,6.2,7.7,10.4
-45579.93505,6.2,7.8,10.4
-45579.93852,6.2,7.9,10.4
-45579.94652,6.2,7.9,10.3
-45579.95821,6.2,8.0,10.3
-45579.96491,6.2,8.1,10.3
-45579.98048,6.2,8.1,10.2
-45579.99521,6.2,8.2,10.2
-45580.00431,6.2,8.2,10.1
-45580.02585,6.2,8.3,10.1
-45580.03561,6.2,8.4,10.1
-45580.05617,6.2,8.4,10.0
-45580.06531,6.2,8.5,10.0
-45580.09166,6.2,8.5,9.9
-45580.1131,6.2,8.5,9.8
-45580.13917,6.2,8.5,9.7
-45580.17478,6.2,8.6,9.7
-45580.21375,6.2,8.6,9.6
-45580.23801,6.2,8.6,9.5
-45580.2629,6.2,8.7,9.5
-45580.26344,6.2,8.8,9.5
-45580.26381,6.2,8.8,9.4
-45580.27804,6.1,8.8,9.4
-45580.26874,6.1,8.8,9.3
-45580.26778,6.1,8.9,9.3
-45580.27101,6.0,8.9,9.3
-45580.25313,5.9,8.9,9.3
-45580.24439,5.9,8.9,9.2
-45580.22842,5.8,8.9,9.2
-45580.19917,5.8,8.9,9.1
-45580.16429,5.8,8.8,9.1
-45580.13111,5.7,8.8,9.1
-45580.11379,5.7,8.7,9.1
-45580.09188,5.6,8.7,9.1
-45580.0694,5.6,8.6,9.1
-45580.06386,5.5,8.6,9.1
-45580.06626,5.4,8.6,9.1
-45580.10314,5.4,8.5,9.1
-45580.13052,5.3,8.5,9.1
-45580.13168,5.2,8.5,9.1
-45580.10748,5.1,8.5,9.1
-45580.10129,5.1,8.6,9.1
-45580.09674,5.0,8.6,9.1
-45580.08736,4.9,8.6,9.1
-45580.08584,4.8,8.6,9.1
-45580.09304,4.7,8.6,9.1
-45580.10908,4.6,8.6,9.1
-45580.12744,4.5,8.6,9.1
-45580.14233,4.4,8.6,9.1
-45580.1558,4.3,8.6,9.1
-45580.17155,4.2,8.6,9.1
-45580.1973,4.1,8.6,9.1
-45580.24217,4.0,8.6,9.1
-45580.31503,3.9,8.6,9.1
-45580.39326,3.8,8.6,9.1
-45580.45638,3.7,8.6,9.1
-45580.54847,3.6,8.6,9.1
-45580.68603,3.5,8.6,9.1
-45580.79223,3.5,8.7,9.1
-45580.87574,3.4,8.7,9.1
-45580.92982,3.4,8.8,9.1
-45580.97454,3.3,8.8,9.1
-45580.99724,3.3,8.9,9.1
-45581.02041,3.2,8.9,9.1
-45581.0294,3.2,9.0,9.1
-45581.02682,3.2,9.1,9.1
-45581.00378,3.2,9.1,9.0
-45580.99532,3.3,9.1,9.0
-45580.95902,3.4,9.1,9.0
